0.010484, 0.010046, 0.008896, 0.008245, 0.007841, 0.007561, 0.007341, 0.007151, 0.006977, 0.006809, 0.006646, 0.006485, 0.006324, 
0.009259, 0.010156, 0.009513, 0.008364, 0.007713, 0.007309, 0.007028, 0.006808, 0.006619, 0.006444, 0.006277, 0.006114, 0.005952, 
0.008110, 0.008727, 0.009829, 0.008981, 0.007832, 0.007180, 0.006777, 0.006496, 0.006276, 0.006086, 0.005912, 0.005745, 0.005581, 
0.007459, 0.007578, 0.008195, 0.009501, 0.008448, 0.007299, 0.006648, 0.006244, 0.005963, 0.005744, 0.005554, 0.005379, 0.005212, 
0.007055, 0.006927, 0.007045, 0.007662, 0.009173, 0.007916, 0.006767, 0.006116, 0.005712, 0.005431, 0.005211, 0.005022, 0.004847, 
0.006774, 0.006523, 0.006394, 0.006513, 0.007130, 0.008846, 0.007384, 0.006234, 0.005583, 0.005180, 0.004899, 0.004679, 0.004489, 
0.006554, 0.006242, 0.005990, 0.005862, 0.005981, 0.006597, 0.008518, 0.006851, 0.005702, 0.005051, 0.004647, 0.004366, 0.004146, 
0.006365, 0.006022, 0.005710, 0.005458, 0.005329, 0.005448, 0.006065, 0.008190, 0.006319, 0.005170, 0.004519, 0.004115, 0.003834, 
0.006190, 0.005832, 0.005490, 0.005177, 0.004926, 0.004797, 0.004916, 0.005533, 0.007863, 0.005787, 0.004637, 0.003986, 0.003582, 
0.006023, 0.005658, 0.005300, 0.004957, 0.004645, 0.004393, 0.004265, 0.004383, 0.005000, 0.007535, 0.005254, 0.004105, 0.003454, 
0.005860, 0.005491, 0.005125, 0.004768, 0.004425, 0.004112, 0.003861, 0.003732, 0.003851, 0.004468, 0.007208, 0.004722, 0.003573, 
0.005698, 0.005327, 0.004958, 0.004593, 0.004235, 0.003892, 0.003580, 0.003329, 0.003200, 0.003319, 0.003936, 0.006880, 0.004189, 
0.005538, 0.005166, 0.004795, 0.004426, 0.004061, 0.003703, 0.003360, 0.003048, 0.002796, 0.002667, 0.002786, 0.003403, 0.006552, 
