0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 0.000170, 0.000085, 0.000042, 0.000021, 0.000010, 
0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 0.000170, 0.000085, 0.000042, 0.000021, 
0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 0.000170, 0.000085, 0.000042, 
0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 0.000170, 0.000085, 
0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 0.000170, 
0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 0.000343, 
0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 0.000690, 
0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 0.001390, 
0.000170, 0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 0.002799, 
0.000085, 0.000170, 0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 0.005636, 
0.000042, 0.000085, 0.000170, 0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 0.011349, 
0.000021, 0.000042, 0.000085, 0.000170, 0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 0.022854, 
0.000010, 0.000021, 0.000042, 0.000085, 0.000170, 0.000343, 0.000690, 0.001390, 0.002799, 0.005636, 0.011349, 0.022854, 0.000000, 
