0.172577, 0.244409, 0.017191, 0.900662, 1.000000, 0.608327, 0.015833, 0.936633, 0.919853, 0.735224, 0.285837, 0.133742, 0.927328, 
0.583414, 0.524671, 0.101271, 0.161406, 0.242564, 0.911314, 0.941989, 0.863129, 0.935831, 0.119931, 0.376470, 0.913130, 0.933333, 
0.331717, 0.006399, 0.515882, 0.890254, 0.400100, 0.241275, 0.028387, 0.601996, 0.743060, 0.576917, 0.538684, 0.137853, 0.203746, 
0.272712, 0.787831, 0.181490, 0.230082, 0.312462, 0.833715, 0.960876, 0.518294, 0.539508, 0.442264, 0.844494, 0.325731, 0.935933, 
0.480470, 0.830613, 0.985583, 0.732300, 0.331684, 0.469889, 0.761944, 0.016832, 0.477110, 0.273908, 0.174240, 0.811703, 0.801938, 
0.894580, 0.565623, 0.243308, 0.856878, 0.682568, 0.836288, 0.737642, 0.221717, 0.443788, 0.443022, 0.580084, 0.029767, 0.406095, 
0.538839, 1.000000, 0.522306, 0.880034, 0.382196, 0.374952, 1.000000, 0.768558, 0.657851, 0.665942, 0.591531, 0.586604, 0.267426, 
0.960453, 0.801914, 0.369192, 0.214150, 0.732792, 0.615792, 0.240148, 0.030733, 0.228691, 0.806258, 0.702350, 0.860927, 0.506353, 
0.061422, 0.015939, 0.029683, 0.877845, 0.756289, 0.760699, 0.623564, 0.380991, 0.806164, 0.325814, 0.540640, 0.095510, 0.920766, 
0.547797, 0.426867, 0.102395, 0.651389, 0.487253, 0.052433, 0.545124, 0.699473, 0.214565, 0.783105, 0.159681, 0.778675, 0.560148, 
0.929806, 0.258790, 0.536850, 0.813611, 0.669612, 0.663550, 0.719439, 0.940964, 0.147988, 0.267507, 0.360586, 0.740014, 0.792031, 
0.147078, 0.237723, 0.123969, 0.857715, 0.116435, 0.338905, 0.712657, 0.555421, 0.979920, 0.664274, 0.567671, 0.166210, 0.663782, 
0.693035, 0.835890, 0.000000, 0.483978, 0.401399, 0.268908, 0.749586, 0.727674, 0.360926, 0.272137, 0.593798, 0.160153, 0.308740, 
